mp_name.x,mp_name.y
kmsushmitadev,sushmitadev
rameshkaushik,rameshchanderkaushik
kinjarapurammohannaidu,rammohannaidukinjarapu
devajibhaifatepara,fateparadevajibhaigovindbhai
jjayasinghthiyagarajnaterjee,jjeyasinghthiyagarajnatterjee
varaprasadaraovelagapalli,varaprasadraovelagapalli
sukhbirsinghjaunpuria,sukhbirsinghjaunapuria
jitendrachaudhury,jitendrachoudhury
pasangma,conradkongkalsangma
kmshobhakarandlaje,shobhakarandlaje
sultanahmed,sajdaahmed
swamisakshijimaharaj,swamisachchidanandharisakshi
mullappallyramachandran,ramachandranmullappally
balasubramaniansenguttuvan,bsenguttuvan
srinivaskesineni,kesinenisrinivas
haribabukhambhapati,kambhampatiharibabu
ashokgajapatiraju,ashokgajapathirajupusapati
ramdastadas,ramdaschandrabhanjitadas
bhavanagawali,bhavanapundlikraogawalipatil
bheemaraobpatil,bheemraobpatil
sanwarlaljat,raghusharma
prakashbhukkeri,prakashbabannahukkeri
manojkumarsinha,manojsinha
sushreeumabharati,umabharati
jualoram,jualjueloram
pratyusharajeshwarisingh,hemendrachandrasingh
mamatathakur,kapilkrishnathakur
raoinderjitsingh,inderjitsinghrao
georgebaker,richardhay
richardhay,georgebaker
kantilalbhuria,dileepsinghbhuria
dayakarpasunoori,kadiyamsrihari
cksangma,conradkongkalsangma
parthapratimray,renukasinha
pradanbaruah,sarbanandasonowal
gyansingh,dalpatsinghparaste
dibyenduadhikari,suvenduadhikari
gurjeetsinghaujla,amarindersingh
pkkunhalikutty,eahamed
farooqabdullah,tariqhameedkarra
sunilkumarjakhar,vinodkhanna
raghusharma,sanwarlaljat
karansinghyadav,chandnath
sajdaahmed,sultanahmed
